eat;ate;eaten;
effuse;effusing;effused;
elucidate;elucidating;elucidated;
embezzle;embezzling;embezzled;
enthuse;enthusing;enthused;
endure;enduring;endured;
enhance;enhancing;enhanced;
enrapture;enrapturing;enraptured;
enslave;enslaving;enslaved;
ensure;ensuring;ensured;
entrance;entrancing;entranced;
equate;equating;equated;
eradicate;eradicating;eradicated;
erase;erasing;erased;
escape;escaping;escaped;
eulogize;eulogizing;eulogized;
euthanize;euthanizing;euthanized;
evacuate;evacuating;evacuated;
evade;evading;evaded;
evoke;evoking;evoked;
examine;examining;examined;
excuse;excusing;excused;
expunge;expunging;expunged;
expurgate;expurgating;expurgated;
exemporize;exemporizing;exemporized;
expectorate;expectorating;expectorated;
exterminate;exterminating;exterminated;
eye;eying;eyed;
